type,joint,dist_15,dist_22,shift
Girth Weld,5300.0,18894.32,18943.615,49.3
Girth Weld,5310.0,18934.5,18983.917,49.42
Tap,5310.0,18939.78,18989.183,49.4
Girth Weld,5320.0,18974.64,19024.026,49.39
Girth Weld,5330.0,19004.9,19054.409,49.51
Girth Weld,5340.0,19044.85,19094.36,49.51
Girth Weld,5350.0,19084.88,19134.633,49.75
Girth Weld,5360.0,19124.93,19174.649,49.72
Girth Weld,5370.0,19165.0,19214.944,49.94
Girth Weld,5380.0,19205.0,19255.02,50.02
Girth Weld,5390.0,19244.41,19294.636,50.23
Girth Weld,5400.0,19284.44,19334.721,50.28
Girth Weld,5410.0,19324.37,19375.102,50.73
Girth Weld,5420.0,19364.31,19415.144,50.83
Girth Weld,5430.0,19404.28,19455.361,51.08
Girth Weld,5440.0,19444.27,19495.41,51.14
Girth Weld,5450.0,19484.27,19535.558,51.29
Girth Weld,5460.0,19524.29,19575.607,51.32
Girth Weld,5470.0,19564.2,19615.948,51.75
Girth Weld,5480.0,19604.24,19655.961,51.72
Girth Weld,5490.0,19644.28,19696.24,51.96
Girth Weld,5500.0,19684.27,19736.204,51.93
Girth Weld,5510.0,19724.27,19776.417,52.15
Girth Weld,5520.0,19764.25,19816.414,52.16
Girth Weld,5530.0,19804.16,19856.621,52.46
Girth Weld,5540.0,19844.19,19896.624,52.43
Girth Weld,5550.0,19884.17,19936.9,52.73
Girth Weld,5560.0,19924.23,19976.929,52.7
Girth Weld,5570.0,19964.16,20017.064,52.9
Girth Weld,5580.0,20004.05,20057.024,52.97
Girth Weld,5590.0,20044.08,20097.26,53.18
Girth Weld,5600.0,20084.08,20137.185,53.1
Girth Weld,5610.0,20124.14,20177.421,53.28
Girth Weld,5620.0,20164.33,20217.598,53.27
Girth Weld,5630.0,20204.48,20257.9,53.42
Girth Weld,5640.0,20244.53,20297.913,53.38
Girth Weld,5650.0,20284.47,20338.074,53.6
Girth Weld,5660.0,20324.54,20378.051,53.51
Girth Weld,5670.0,20364.66,20418.278,53.62
Girth Weld,5680.0,20404.89,20458.465,53.58
Girth Weld,5690.0,20443.59,20497.336,53.75
Girth Weld,5700.0,20483.66,20537.316,53.66
Girth Weld,5710.0,20523.69,20577.51,53.82
Girth Weld,5720.0,20563.77,20617.533,53.76
Girth Weld,5730.0,20603.86,20657.756,53.9
Girth Weld,5740.0,20643.92,20697.73,53.81
Girth Weld,5750.0,20683.91,20737.93,54.02
Girth Weld,5760.0,20723.99,20777.943,53.95
Girth Weld,5770.0,20764.11,20818.179,54.07
Girth Weld,5780.0,20804.2,20858.205,54.01
Girth Weld,5790.0,20844.46,20898.478,54.02
Girth Weld,5800.0,20856.18,20910.203,54.02
Girth Weld,5810.0,20896.27,20950.43,54.16
Girth Weld,5820.0,20936.25,20990.577,54.33
Girth Weld,5830.0,20969.67,21024.085,54.42
Girth Weld,5840.0,21009.74,21064.131,54.39
Girth Weld,5850.0,21049.76,21104.531,54.77
Girth Weld,5860.0,21070.74,21125.525,54.78
Girth Weld,5870.0,21110.85,21165.738,54.89
Girth Weld,5870.0,21110.89,21165.738,54.85
Girth Weld,5880.0,21150.86,21205.863,55.0
Girth Weld,5890.0,21190.97,21245.919,54.95
Girth Weld,5900.0,21231.05,21286.168,55.12
Girth Weld,5910.0,21271.06,21326.096,55.04
Girth Weld,5920.0,21311.11,21366.332,55.22
Girth Weld,5930.0,21351.11,21405.295,54.18
Girth Weld,5940.0,21391.18,21443.136,51.96
Girth Weld,5950.0,21431.27,21486.627,55.36
Girth Weld,5960.0,21471.34,21526.749,55.41
Girth Weld,5970.0,21511.39,21566.814,55.42
Girth Weld,5980.0,21551.47,21606.926,55.46
Girth Weld,5990.0,21591.49,21646.877,55.39
Girth Weld,6000.0,21631.54,21687.054,55.51
Girth Weld,6010.0,21671.62,21727.119,55.5
Girth Weld,6020.0,21711.5,21767.402,55.9
Girth Weld,6030.0,21744.38,21800.42,56.04
Girth Weld,6040.0,21754.09,21810.151,56.06
Girth Weld,6050.0,21794.15,21850.233,56.08
Girth Weld,6060.0,21834.3,21890.325,56.03
Girth Weld,6070.0,21874.41,21930.627,56.22
Girth Weld,6080.0,21914.5,21970.627,56.13
Girth Weld,6090.0,21954.53,22011.017,56.49
Girth Weld,6100.0,21994.61,22051.053,56.44
Girth Weld,6110.0,22034.68,22091.224,56.54
Girth Weld,6120.0,22074.76,22131.28,56.52
Girth Weld,6130.0,22114.84,22171.512,56.67
Girth Weld,6140.0,22154.86,22211.509,56.65
Girth Weld,6150.0,22194.99,22251.772,56.78
Girth Weld,6160.0,22234.95,22291.693,56.74
Girth Weld,6170.0,22274.98,22331.88,56.9
Girth Weld,6180.0,22315.0,22371.86,56.86
Girth Weld,6190.0,22355.06,22412.067,57.01
Girth Weld,6200.0,22395.11,22452.08,56.97
Girth Weld,6210.0,22435.16,22492.293,57.13
Girth Weld,6220.0,22475.21,22532.316,57.11
Girth Weld,6230.0,22515.16,22572.533,57.37
Girth Weld,6240.0,22555.07,22612.415,57.35
Girth Weld,6250.0,22595.05,22652.638,57.59
Girth Weld,6260.0,22612.04,22669.613,57.57
Girth Weld,6270.0,22652.08,22709.872,57.79
Girth Weld,6280.0,22692.08,22749.98,57.9
Girth Weld,6290.0,22732.07,22790.2,58.13
Girth Weld,6300.0,22772.01,22830.279,58.27
Girth Weld,6310.0,22811.93,22870.354,58.42
Girth Weld,6320.0,22851.97,22910.384,58.41
Girth Weld,6330.0,22891.98,22950.581,58.6
Girth Weld,6340.0,22932.08,22990.584,58.5
Girth Weld,6350.0,22972.1,23030.751,58.65
Girth Weld,6360.0,23012.16,23070.951,58.79
Girth Weld,6370.0,23052.31,23111.309,59.0
Girth Weld,6380.0,23092.29,23151.355,59.06
Girth Weld,6390.0,23132.4,23191.699,59.3
Girth Weld,6400.0,23172.39,23231.673,59.28
Girth Weld,6410.0,23212.4,23271.808,59.41
Girth Weld,6420.0,23239.89,23299.429,59.54
Girth Weld,6430.0,23279.88,23339.357,59.48
Girth Weld,6440.0,23319.79,23379.482,59.69
Girth Weld,6450.0,23359.8,23419.534,59.73
Girth Weld,6460.0,23399.85,23459.79,59.94
Girth Weld,6470.0,23439.7,23499.61,59.91
Girth Weld,6480.0,23479.57,23539.764,60.19
Girth Weld,6490.0,23519.41,23579.695,60.28
Girth Weld,6500.0,23559.4,23619.777,60.38
Girth Weld,6510.0,23599.36,23659.813,60.45
Girth Weld,6520.0,23639.09,23699.738,60.65
Girth Weld,6530.0,23679.06,23739.767,60.71
Girth Weld,6540.0,23706.72,23767.621,60.9
Girth Weld,6550.0,23746.71,23807.579,60.87
Girth Weld,6560.0,23786.7,23847.782,61.08
Girth Weld,6570.0,23826.75,23887.799,61.05
Girth Weld,6580.0,23866.72,23927.959,61.24
Girth Weld,6590.0,23906.73,23967.904,61.17
Girth Weld,6600.0,23946.77,24008.14,61.37
Girth Weld,6610.0,23986.81,24048.133,61.32
Girth Weld,6620.0,24026.84,24088.376,61.54
Girth Weld,6630.0,24066.88,24128.366,61.49
Girth Weld,6640.0,24106.91,24168.537,61.63
Girth Weld,6650.0,24143.42,24204.98,61.56
Girth Weld,6660.0,24183.46,24245.138,61.68
Girth Weld,6670.0,24223.56,24285.141,61.58
Girth Weld,6680.0,24263.6,24325.315,61.72
Girth Weld,6690.0,24303.7,24365.289,61.59
Girth Weld,6700.0,24343.73,24405.482,61.75
Girth Weld,6710.0,24383.79,24445.453,61.66
Girth Weld,6720.0,24423.79,24485.676,61.89
Girth Weld,6730.0,24463.97,24525.876,61.91
Girth Weld,6740.0,24504.11,24566.076,61.97
Girth Weld,6750.0,24544.21,24606.037,61.83
Girth Weld,6760.0,24584.28,24646.214,61.93
Girth Weld,6770.0,24612.39,24674.259,61.87
Girth Weld,6780.0,24652.48,24714.432,61.95
Girth Weld,6790.0,24692.46,24754.462,62.0
Girth Weld,6800.0,24732.51,24794.544,62.03
Girth Weld,6810.0,24772.63,24834.629,62.0
Girth Weld,6820.0,24812.63,24874.948,62.32
Girth Weld,6830.0,24852.74,24914.977,62.24
Girth Weld,6840.0,24892.75,24955.056,62.31
Girth Weld,6850.0,24932.96,24995.154,62.19
Girth Weld,6860.0,24973.03,25035.354,62.32
Girth Weld,6870.0,25012.89,25075.272,62.38
Girth Weld,6880.0,25052.82,25115.646,62.83
Girth Weld,6890.0,25085.55,25148.422,62.87
Girth Weld,6900.0,25125.46,25188.773,63.31
Girth Weld,6910.0,25165.46,25228.845,63.39
Girth Weld,6920.0,25205.48,25269.094,63.61
Girth Weld,6930.0,25245.51,25309.049,63.54
Girth Weld,6940.0,25285.57,25349.222,63.65
Girth Weld,6950.0,25325.67,25389.255,63.59
Girth Weld,6960.0,25365.71,25429.442,63.73
Girth Weld,6970.0,25405.72,25469.482,63.76
Girth Weld,6980.0,25445.68,25509.58,63.9
Girth Weld,6990.0,25485.89,25549.806,63.92
Girth Weld,7000.0,25526.07,25590.069,64.0
Girth Weld,7010.0,25546.04,25610.066,64.03
Girth Weld,7020.0,25586.31,25650.246,63.94
Girth Weld,7030.0,25600.29,25664.085,63.79
Girth Weld,7040.0,25640.19,25704.199,64.01
Girth Weld,7050.0,25668.0,25732.031,64.03
Girth Weld,7060.0,25708.1,25772.169,64.07
Girth Weld,7070.0,25745.74,25809.865,64.12
Girth Weld,7080.0,25785.81,25849.915,64.1
Girth Weld,7090.0,25815.49,25879.652,64.16
Girth Weld,7100.0,25825.05,25889.111,64.06
Girth Weld,7110.0,25865.25,25929.35,64.1
Girth Weld,7120.0,25874.03,25938.816,64.79
Girth Weld,7130.0,25914.31,25978.783,64.47
Girth Weld,7140.0,25954.33,26018.94,64.61
Girth Weld,7150.0,25994.38,26059.127,64.75
Girth Weld,7160.0,26034.38,26099.104,64.72
Girth Weld,7170.0,26074.44,26139.163,64.72
Agm,7170.0,26084.38,26573.524,489.14
Girth Weld,7180.0,26114.54,26179.347,64.81
Girth Weld,7190.0,26134.55,26199.364,64.81
Girth Weld,7200.0,26174.57,26239.472,64.9
Girth Weld,7210.0,26214.75,26279.806,65.06
Girth Weld,7220.0,26254.77,26319.885,65.11
Girth Weld,7230.0,26294.84,26359.849,65.01
Girth Weld,7240.0,26334.9,26400.03,65.13
Girth Weld,7250.0,26374.97,26440.066,65.1
Girth Weld,7260.0,26415.02,26480.318,65.3
Girth Weld,7270.0,26455.08,26520.279,65.2
Girth Weld,7280.0,26495.15,26560.463,65.31
Girth Weld,7290.0,26535.07,26600.354,65.28
Girth Weld,7300.0,26575.04,26640.564,65.52
Girth Weld,7310.0,26615.09,26680.515,65.42
Girth Weld,7320.0,26655.11,26720.741,65.63
Girth Weld,7330.0,26695.13,26760.755,65.62
Girth Weld,7340.0,26735.04,26800.899,65.86
Girth Weld,7350.0,26775.18,26840.971,65.79
Girth Weld,7360.0,26815.26,26881.309,66.05
Girth Weld,7370.0,26827.65,26893.704,66.05
Girth Weld,7380.0,26867.78,26933.855,66.08
Girth Weld,7390.0,26908.0,26974.15,66.15
Girth Weld,7400.0,26930.83,26996.867,66.04
Girth Weld,7410.0,26971.0,27037.129,66.13
Girth Weld,7420.0,26984.21,27051.175,66.97
Girth Weld,7430.0,27014.39,27081.063,66.67
Girth Weld,7440.0,27045.83,27112.526,66.7
Girth Weld,7450.0,27085.94,27152.654,66.71
Girth Weld,7460.0,27126.08,27192.841,66.76
Girth Weld,7470.0,27166.22,27232.884,66.66
Girth Weld,7480.0,27206.28,27273.094,66.81
Girth Weld,7490.0,27246.37,27313.1,66.73
Girth Weld,7500.0,27286.32,27353.373,67.05
Girth Weld,7510.0,27315.6,27382.664,67.06
Girth Weld,7520.0,27355.59,27422.858,67.27
Girth Weld,7530.0,27395.57,27462.792,67.22
Girth Weld,7540.0,27435.57,27503.012,67.44
Girth Weld,7550.0,27475.59,27542.949,67.36
Girth Weld,7560.0,27515.59,27583.114,67.52
Girth Weld,7570.0,27555.63,27623.094,67.46
Girth Weld,7580.0,27595.59,27663.232,67.64
Girth Weld,7590.0,27635.56,27703.15,67.59
Girth Weld,7600.0,27675.6,27743.392,67.79
Girth Weld,7610.0,27715.69,27783.412,67.72
Girth Weld,7620.0,27755.92,27823.727,67.81
Girth Weld,7630.0,27795.98,27863.727,67.75
Girth Weld,7640.0,27836.17,27904.039,67.87
Girth Weld,7650.0,27876.26,27944.032,67.77
Girth Weld,7660.0,27916.34,27984.327,67.99
Girth Weld,7670.0,27956.49,28024.469,67.98
Girth Weld,7680.0,27996.44,28064.56,68.12
Girth Weld,7690.0,28009.13,28077.89,68.76
Girth Weld,7700.0,28049.45,28118.156,68.71
Girth Weld,7710.0,28089.41,28158.589,69.18
Girth Weld,7720.0,28109.97,28179.085,69.11
Girth Weld,7730.0,28150.03,28219.288,69.26
Girth Weld,7740.0,28190.06,28259.262,69.2
Girth Weld,7750.0,28230.12,28299.38,69.26
Girth Weld,7760.0,28262.74,28332.001,69.26
Girth Weld,7770.0,28302.86,28372.228,69.37
Girth Weld,7780.0,28335.76,28405.059,69.3
Girth Weld,7790.0,28375.79,28445.233,69.44
Girth Weld,7800.0,28415.95,28485.338,69.39
Girth Weld,7810.0,28456.0,28525.548,69.55
Girth Weld,7820.0,28496.11,28565.564,69.45
Girth Weld,7830.0,28536.1,28605.728,69.63
Girth Weld,7840.0,28576.12,28645.817,69.7
Girth Weld,7850.0,28616.19,28685.971,69.78
Girth Weld,7860.0,28656.3,28725.997,69.7
Girth Weld,7870.0,28696.36,28766.171,69.81
Girth Weld,7880.0,28736.28,28806.04,69.76
Girth Weld,7890.0,28776.33,28846.335,70.0
Girth Weld,7900.0,28816.42,28886.401,69.98
Agm,7900.0,28845.3,29234.918,389.62
Girth Weld,7910.0,28856.46,28926.644,70.18
Girth Weld,7920.0,28896.56,28966.644,70.08
Girth Weld,7930.0,28936.66,29006.903,70.24
Girth Weld,7940.0,28976.83,29046.962,70.13
Girth Weld,7950.0,29016.91,29087.208,70.3
Girth Weld,7960.0,29056.98,29127.192,70.21
Girth Weld,7970.0,29097.07,29167.47,70.4
Girth Weld,7980.0,29130.47,29200.768,70.3
Girth Weld,7990.0,29170.51,29241.02,70.51
Girth Weld,8000.0,29210.59,29281.037,70.45
Girth Weld,8010.0,29250.55,29321.132,70.58
Girth Weld,8020.0,29290.63,29361.171,70.54
Girth Weld,8030.0,29330.67,29401.348,70.68
Girth Weld,8040.0,29370.81,29441.391,70.58
Girth Weld,8050.0,29411.06,29481.663,70.6
Girth Weld,8060.0,29451.25,29521.759,70.51
Girth Weld,8070.0,29491.31,29562.11,70.8
Girth Weld,8080.0,29531.38,29602.119,70.74
Girth Weld,8090.0,29571.42,29642.339,70.92
Girth Weld,8100.0,29611.46,29682.343,70.88
Girth Weld,8110.0,29651.51,29722.543,71.03
Girth Weld,8120.0,29689.14,29760.151,71.01
Girth Weld,8130.0,29729.52,29800.643,71.12
Girth Weld,8140.0,29741.31,29812.9,71.59
Girth Weld,8150.0,29781.95,29853.15,71.2
Girth Weld,8160.0,29802.06,29873.353,71.29
Girth Weld,8170.0,29836.38,29907.654,71.27
Girth Weld,8180.0,29876.45,29947.933,71.48
Girth Weld,8190.0,29916.51,29987.966,71.46
Girth Weld,8200.0,29956.58,30028.199,71.62
Girth Weld,8210.0,29996.58,30068.255,71.67
Girth Weld,8220.0,30036.57,30108.399,71.83
Girth Weld,8230.0,30076.64,30148.409,71.77
Girth Weld,8240.0,30116.69,30188.629,71.94
Girth Weld,8250.0,30156.79,30228.645,71.85
Girth Weld,8260.0,30196.67,30268.77,72.1
Girth Weld,8270.0,30236.76,30308.78,72.02
Girth Weld,8280.0,30276.76,30348.97,72.21
Girth Weld,8290.0,30316.75,30389.003,72.25
Girth Weld,8300.0,30356.68,30429.203,72.52
Girth Weld,8310.0,30396.72,30469.216,72.5
Girth Weld,8320.0,30436.78,30509.518,72.74
Girth Weld,8330.0,30476.86,30549.567,72.71
Girth Weld,8340.0,30516.92,30589.836,72.92
Girth Weld,8350.0,30556.99,30629.826,72.84
Girth Weld,8360.0,30596.93,30670.069,73.14
Girth Weld,8370.0,30637.0,30710.131,73.13
Girth Weld,8380.0,30677.04,30750.285,73.24
Girth Weld,8390.0,30717.13,30790.335,73.2
Girth Weld,8400.0,30757.13,30830.574,73.44
Girth Weld,8410.0,30786.03,30859.37,73.34
Girth Weld,8420.0,30821.53,30895.007,73.48
Girth Weld,8430.0,30858.27,30931.631,73.36
Girth Weld,8440.0,30898.42,30971.788,73.37
Girth Weld,8450.0,30908.8,30982.776,73.98
Girth Weld,8460.0,30930.8,31004.288,73.49
Girth Weld,8470.0,30970.98,31044.495,73.51
Girth Weld,8480.0,30981.41,31055.404,73.99
Girth Weld,8490.0,31015.52,31089.108,73.59
Girth Weld,8500.0,31055.59,31129.291,73.7
Girth Weld,8510.0,31095.71,31169.347,73.64
Girth Weld,8520.0,31135.83,31209.551,73.72
Girth Weld,8530.0,31176.03,31249.652,73.62
Girth Weld,8540.0,31216.18,31289.872,73.69
Girth Weld,8550.0,31256.11,31329.747,73.64
Girth Weld,8560.0,31296.16,31369.964,73.8
Girth Weld,8570.0,31336.28,31410.01,73.73
Girth Weld,8580.0,31371.76,31445.584,73.82
Girth Weld,8590.0,31411.76,31485.587,73.83
Girth Weld,8600.0,31451.83,31525.751,73.92
Girth Weld,8610.0,31491.95,31565.758,73.81
Girth Weld,8620.0,31532.04,31605.889,73.85
Girth Weld,8630.0,31541.83,31615.623,73.79
Girth Weld,8640.0,31550.78,31625.236,74.46
Girth Weld,8650.0,31557.24,31631.427,74.19
Girth Weld,8660.0,31597.28,31671.604,74.32
Agm,8660.0,31600.89,31675.184,74.29
Girth Weld,8670.0,31613.37,31687.585,74.22
Girth Weld,8680.0,31622.71,31697.313,74.6
Girth Weld,8690.0,31633.87,31708.291,74.42
Girth Weld,8700.0,31655.05,31729.511,74.46
Girth Weld,8710.0,31695.07,31769.583,74.51
Girth Weld,8720.0,31705.7,31780.121,74.42
Girth Weld,8730.0,31730.57,31805.174,74.6
Girth Weld,8740.0,31741.13,31815.758,74.63
Girth Weld,8750.0,31781.14,31855.837,74.7
Girth Weld,8760.0,31789.8,31864.373,74.57
Girth Weld,8770.0,31829.88,31904.626,74.75
Girth Weld,8780.0,31868.13,31942.972,74.84
Girth Weld,8790.0,31882.23,31957.11,74.88
Girth Weld,8800.0,31922.4,31997.411,75.01
Girth Weld,8810.0,31934.11,32009.163,75.05
Girth Weld,8820.0,31974.18,32049.268,75.09
Girth Weld,8830.0,31991.04,32066.115,75.08
Girth Weld,8840.0,32031.09,32106.325,75.24
Girth Weld,8850.0,32071.17,32146.519,75.35
Girth Weld,8860.0,32083.36,32158.773,75.41
Girth Weld,8870.0,32123.41,32198.845,75.44
Girth Weld,8880.0,32129.69,32205.085,75.4
Girth Weld,8890.0,32169.75,32245.164,75.41
Girth Weld,8900.0,32209.69,32285.387,75.7
Girth Weld,8910.0,32229.07,32304.836,75.77
Girth Weld,8920.0,32268.96,32344.787,75.83
Girth Weld,8930.0,32308.95,32384.888,75.94
Girth Weld,8940.0,32323.65,32399.498,75.85
Girth Weld,8950.0,32355.79,32431.621,75.83
Girth Weld,8960.0,32366.54,32443.189,76.65
Girth Weld,8970.0,32400.8,32477.119,76.32
Girth Weld,8980.0,32410.9,32487.907,77.01
Girth Weld,8990.0,32421.74,32498.386,76.65
Girth Weld,9000.0,32461.84,32538.451,76.61
Girth Weld,9010.0,32471.41,32548.701,77.29
Girth Weld,9020.0,32494.74,32571.854,77.11
Girth Weld,9030.0,32534.72,32611.89,77.17
Girth Weld,9040.0,32564.18,32641.44,77.26
Girth Weld,9050.0,32604.02,32681.391,77.37
Girth Weld,9060.0,32644.07,32721.493,77.42
Girth Weld,9070.0,32684.08,32761.453,77.37
Girth Weld,9080.0,32692.2,32769.455,77.26
Girth Weld,9090.0,32700.88,32778.878,78.0
Girth Weld,9100.0,32740.03,32817.808,77.78
Girth Weld,9110.0,32780.19,32858.14,77.95
Girth Weld,9120.0,32820.11,32898.071,77.96
Girth Weld,9130.0,32852.12,32930.302,78.18
Girth Weld,9140.0,32882.53,32960.751,78.22
Girth Weld,9150.0,32922.36,33000.797,78.44
Girth Weld,9160.0,32962.17,33040.823,78.65
Girth Weld,9170.0,33002.05,33080.971,78.92
Girth Weld,9180.0,33042.07,33121.119,79.05
Girth Weld,9190.0,33082.04,33161.253,79.21
Girth Weld,9200.0,33122.06,33201.247,79.19
Girth Weld,9210.0,33162.11,33241.496,79.39
Girth Weld,9220.0,33202.15,33281.601,79.45
Girth Weld,9230.0,33242.18,33321.775,79.6
Girth Weld,9240.0,33282.17,33361.893,79.72
Girth Weld,9250.0,33322.18,33402.024,79.84
Girth Weld,9260.0,33362.23,33442.024,79.79
Girth Weld,9270.0,33401.66,33481.617,79.96
Girth Weld,9280.0,33441.67,33521.657,79.99
Girth Weld,9290.0,33481.73,33561.916,80.19
Girth Weld,9300.0,33521.75,33601.926,80.18
Girth Weld,9310.0,33561.84,33642.159,80.32
Girth Weld,9320.0,33601.93,33682.27,80.34
Girth Weld,9330.0,33641.83,33722.411,80.58
Girth Weld,9340.0,33681.8,33762.352,80.55
Girth Weld,9350.0,33721.75,33802.53,80.78
Girth Weld,9360.0,33761.78,33842.536,80.76
Girth Weld,9370.0,33801.85,33882.89,81.04
Girth Weld,9380.0,33826.65,33907.72,81.07
Girth Weld,9390.0,33866.72,33947.933,81.21
Girth Weld,9400.0,33906.84,33988.009,81.17
Girth Weld,9410.0,33946.93,34028.199,81.27
Girth Weld,9420.0,33987.05,34068.268,81.22
Girth Weld,9430.0,34027.19,34108.556,81.37
Girth Weld,9440.0,34067.3,34148.638,81.34
Girth Weld,9450.0,34107.43,34188.855,81.43
Girth Weld,9460.0,34147.51,34228.947,81.44
Girth Weld,9470.0,34187.65,34269.131,81.48
Girth Weld,9480.0,34227.74,34309.121,81.38
Girth Weld,9490.0,34267.84,34349.357,81.52
Girth Weld,9500.0,34307.96,34389.406,81.45
Girth Weld,9510.0,34348.08,34429.646,81.57
Girth Weld,9520.0,34380.39,34461.969,81.58
Girth Weld,9530.0,34420.43,34502.152,81.72
Girth Weld,9540.0,34460.57,34542.251,81.68
Girth Weld,9550.0,34500.61,34582.47,81.86
Girth Weld,9560.0,34530.51,34612.3,81.79
Girth Weld,9570.0,34570.59,34652.539,81.95
Girth Weld,9580.0,34610.66,34692.579,81.92
Girth Weld,9590.0,34650.35,34732.418,82.07
Girth Weld,9600.0,34690.59,34772.654,82.06
Girth Weld,9610.0,34730.66,34812.884,82.22
Girth Weld,9620.0,34770.73,34852.989,82.26
Girth Weld,9630.0,34810.79,34893.202,82.41
Girth Weld,9640.0,34850.86,34933.264,82.4
Girth Weld,9650.0,34890.95,34973.474,82.52
Girth Weld,9660.0,34930.98,35013.579,82.6
Girth Weld,9670.0,34971.09,35053.809,82.72
Girth Weld,9680.0,35011.22,35093.917,82.7
Girth Weld,9690.0,35051.44,35134.377,82.94
Girth Weld,9700.0,35078.89,35161.854,82.96
Girth Weld,9710.0,35118.91,35202.011,83.1
Girth Weld,9720.0,35158.92,35242.162,83.24
Girth Weld,9730.0,35198.99,35282.293,83.3
Girth Weld,9740.0,35239.07,35322.297,83.23
Girth Weld,9750.0,35279.3,35362.73,83.43
Girth Weld,9760.0,35319.37,35402.838,83.47
Girth Weld,9770.0,35359.46,35443.035,83.58
Girth Weld,9780.0,35399.57,35483.071,83.5
Girth Weld,9790.0,35439.64,35523.31,83.67
Girth Weld,9800.0,35443.69,35527.188,83.5
Girth Weld,9810.0,35483.61,35567.451,83.84
Girth Weld,9820.0,35487.68,35571.473,83.79
Girth Weld,9830.0,35527.67,35611.427,83.76
Girth Weld,9840.0,35554.93,35638.783,83.85
Girth Weld,9850.0,35595.0,35678.809,83.81
Girth Weld,9860.0,35634.99,35718.976,83.99
Girth Weld,9870.0,35675.02,35758.957,83.94
Girth Weld,9880.0,35715.04,35799.193,84.15
Girth Weld,9890.0,35755.13,35839.252,84.12
Girth Weld,9900.0,35795.19,35879.475,84.28
Girth Weld,9910.0,35835.21,35919.501,84.29
Girth Weld,9920.0,35875.25,35959.738,84.49
Girth Weld,9930.0,35915.28,35999.76,84.48
Girth Weld,9940.0,35955.32,36040.0,84.68
Girth Weld,9950.0,35995.37,36080.01,84.64
Girth Weld,9960.0,36035.4,36120.256,84.86
Girth Weld,9970.0,36075.4,36160.289,84.89
Girth Weld,9980.0,36115.4,36200.505,85.1
Girth Weld,9990.0,36155.42,36240.489,85.07
Girth Weld,10000.0,36195.43,36280.745,85.32
Girth Weld,10010.0,36235.3,36320.653,85.35
Girth Weld,10020.0,36275.38,36360.814,85.43
Girth Weld,10030.0,36315.25,36400.709,85.46
Girth Weld,10040.0,36355.29,36440.879,85.59
Girth Weld,10050.0,36395.33,36480.932,85.6
Girth Weld,10060.0,36435.4,36521.175,85.78
Girth Weld,10070.0,36475.42,36561.198,85.78
Girth Weld,10080.0,36515.6,36601.631,86.03
Girth Weld,10090.0,36555.63,36641.634,86.0
Girth Weld,10100.0,36595.7,36681.847,86.15
Girth Weld,10110.0,36635.75,36721.86,86.11
Girth Weld,10120.0,36675.78,36762.077,86.3
Girth Weld,10130.0,36715.72,36802.047,86.33
Girth Weld,10140.0,36755.77,36842.247,86.48
Girth Weld,10150.0,36795.82,36882.306,86.49
Girth Weld,10160.0,36835.78,36922.411,86.63
Girth Weld,10170.0,36875.25,36961.847,86.6
Girth Weld,10180.0,36915.31,37002.08,86.77
Girth Weld,10190.0,36938.46,37025.157,86.7
Girth Weld,10200.0,36978.65,37065.417,86.77
Girth Weld,10210.0,36987.19,37074.426,87.24
Girth Weld,10220.0,36993.73,37080.509,86.78
Agm,10220.0,36994.95,37079.373,84.42
Girth Weld,10230.0,37031.8,37118.547,86.75
Girth Weld,10240.0,37071.86,37158.819,86.96
Girth Weld,10250.0,37111.88,37198.822,86.94
Girth Weld,10260.0,37151.6,37238.701,87.1
Girth Weld,10270.0,37158.67,37245.614,86.94
Girth Weld,10280.0,37166.54,37254.075,87.53
Girth Weld,10290.0,37178.28,37265.436,87.16
Girth Weld,10300.0,37212.34,37299.491,87.15
Girth Weld,10310.0,37252.48,37339.718,87.24
Girth Weld,10320.0,37292.62,37379.938,87.32
Girth Weld,10330.0,37332.78,37420.246,87.47
Girth Weld,10340.0,37372.91,37460.423,87.51
Girth Weld,10350.0,37402.01,37489.58,87.57
Girth Weld,10360.0,37429.69,37517.316,87.63
Girth Weld,10370.0,37469.69,37557.546,87.86
Girth Weld,10380.0,37503.68,37591.339,87.66
Girth Weld,10390.0,37512.34,37600.725,88.39
Girth Weld,10400.0,37552.97,37640.869,87.9
Girth Weld,10410.0,37592.52,37680.482,87.96
Girth Weld,10420.0,37629.51,37717.379,87.87
Girth Weld,10430.0,37640.54,37729.072,88.53
Girth Weld,10440.0,37649.5,37737.789,88.29
Girth Weld,10450.0,37689.58,37777.802,88.22
Girth Weld,10460.0,37727.81,37816.23,88.42
Girth Weld,10470.0,37767.92,37856.227,88.31
Girth Weld,10480.0,37808.01,37896.47,88.46
Girth Weld,10490.0,37848.13,37936.473,88.34
Girth Weld,10500.0,37888.2,37976.713,88.51
Girth Weld,10510.0,37928.4,38016.788,88.39
Girth Weld,10520.0,37968.41,38056.982,88.57
Girth Weld,10530.0,38006.65,38095.312,88.66
Girth Weld,10540.0,38046.21,38135.043,88.83
Girth Weld,10550.0,38086.25,38175.01,88.76
Girth Weld,10560.0,38126.28,38215.217,88.94
Girth Weld,10570.0,38166.35,38255.253,88.9
Girth Weld,10580.0,38206.46,38295.509,89.05
Girth Weld,10590.0,38246.49,38335.522,89.03
Girth Weld,10600.0,38286.53,38375.738,89.21
Girth Weld,10610.0,38294.94,38384.045,89.1
